target,split,model,r2_mean,r2_std,mae_mean,mae_std,n_mean
rebound_60C_percent,patent,dummy,-0.7761476195428724,0.9487747720108025,12.25776262953154,4.955976601245895,59.4
rebound_60C_percent,patent,hgb,-0.7552126069749987,1.1978192373579277,11.843606213096361,4.626605634523072,59.4
rebound_60C_percent,patent,pls,-11.233838507609459,10.675133613334944,29.351418658318202,5.009871943461437,59.4
rebound_60C_percent,patent,rf,-0.7078804559770562,0.9433747074201757,11.659648006065819,2.529957678306221,59.4
rebound_60C_percent,patent,ridge,-1.8484050867268766,2.928477113919421,13.108466035019978,2.025887903826221,59.4
rebound_60C_percent,random,dummy,-0.024581790439140373,0.034505839839350134,11.27478321555326,0.7034519662255045,59.4
rebound_60C_percent,random,hgb,0.8856679376468832,0.030387848233226447,3.537126521573213,0.4913789515776053,59.4
rebound_60C_percent,random,pls,0.7405456023084331,0.07185866498456346,4.680270362859423,0.8558421221790509,59.4
rebound_60C_percent,random,rf,0.8595212679316176,0.019971514890016726,3.695828085845169,0.46970417420541566,59.4
rebound_60C_percent,random,ridge,0.7592439335280762,0.06370691645832076,4.799527640282635,0.5040772987032957,59.4
t90_min,patent,dummy,-1.280855337766139,1.1986427729382902,12.904424251006407,5.670386892813202,148.8
t90_min,patent,hgb,-2.63199256844051,3.9562652596244727,12.85455828415898,5.768542194020932,148.8
t90_min,patent,pls,-19.44561645974462,22.205912470214333,23.92755551148457,4.6200976029737895,148.8
t90_min,patent,rf,-0.4921131762104166,0.6206721911100519,9.444186973623832,5.700515185612819,148.8
t90_min,patent,ridge,-9.706737733305811,7.951724313604976,21.77260413620751,6.04786845449464,148.8
t90_min,random,dummy,-0.013442871690862423,0.010444894977188098,11.552574022135609,1.3009539156636092,148.8
t90_min,random,hgb,0.7562382237494958,0.06027689989887507,4.593818182724261,0.6894648790141842,148.8
t90_min,random,pls,0.6912740351986011,0.07403285255755708,6.922392713086128,0.4423986433040827,148.8
