target,repr,split,model,fold,n_test,r2,mae
mooney_viscosity,plain+polybert,random,ridge,2,256,0.6789597021405318,9.806084663672836
mooney_viscosity,plain+polybert,random,ridge,3,255,0.5857593489314568,10.613066844969065
mooney_viscosity,plain+polybert,random,ridge,4,255,0.5663289728013079,10.101951489074075
mooney_viscosity,plain+polybert,random,rf,0,256,0.7906532222278616,7.071075047395492
mooney_viscosity,plain+polybert,random,rf,1,256,0.7935241037198514,6.393417377859905
mooney_viscosity,plain+polybert,random,rf,2,256,0.8116202809341292,7.019853813461038
mooney_viscosity,plain+polybert,random,rf,3,255,0.7765510442151878,7.092014417213283
mooney_viscosity,plain+polybert,random,rf,4,255,0.6546229671125945,8.249712840659601
mooney_viscosity,plain+polybert,random,hgb,0,256,0.7960141594220039,6.950607717840657
mooney_viscosity,plain+polybert,random,hgb,1,256,0.8095934883836726,6.529787817761939
mooney_viscosity,plain+polybert,random,hgb,2,256,0.8219127328367389,6.576010388434533
mooney_viscosity,plain+polybert,random,hgb,3,255,0.7668157691254924,7.199664602800641
mooney_viscosity,plain+polybert,random,hgb,4,255,0.690997445820186,7.766831963179422
mooney_viscosity,plain+polybert,patent,ridge,0,256,-1.4641731740747672,26.245800798689977
mooney_viscosity,plain+polybert,patent,ridge,1,256,-0.3508293237972204,20.23872588318607
mooney_viscosity,plain+polybert,patent,ridge,2,256,0.40346161077890497,14.807205615748861
mooney_viscosity,plain+polybert,patent,ridge,3,255,-0.02368747518913139,18.590475654450877
mooney_viscosity,plain+polybert,patent,ridge,4,255,-1.429628385448102,25.70693795292109
mooney_viscosity,plain+polybert,patent,rf,0,256,-0.30603013261928447,18.31659663405004
mooney_viscosity,plain+polybert,patent,rf,1,256,-0.2755388166644188,20.439470601078867
mooney_viscosity,plain+polybert,patent,rf,2,256,0.25887029035260745,16.9488636185222
mooney_viscosity,plain+polybert,patent,rf,3,255,0.18450653744614798,16.041680656706042
mooney_viscosity,plain+polybert,patent,rf,4,255,0.2923436234321839,13.68902627754821
mooney_viscosity,plain+polybert,patent,hgb,0,256,-0.40425316673048495,19.99519587838474
mooney_viscosity,plain+polybert,patent,hgb,1,256,-0.39176668103325096,21.4387912587271
mooney_viscosity,plain+polybert,patent,hgb,2,256,0.0745605468017776,19.09898645551941
mooney_viscosity,plain+polybert,patent,hgb,3,255,0.18415365247057958,16.272490644122332
mooney_viscosity,plain+polybert,patent,hgb,4,255,0.06265221513443586,16.467662176857445
mooney_viscosity,chem-min,random,ridge,0,256,0.1957499770211727,15.954275729853606
