target,split,model,fold,n_train,n_test,r2,mae,time_s
mooney_viscosity,patent,ridge,3,1023,255,-0.04280753720170072,18.830506938295816,0.16
mooney_viscosity,patent,ridge,4,1023,255,-1.5085480095647452,26.04701694594124,0.2
mooney_viscosity,patent,pls,0,1022,256,-1.42738967989966,26.245297554867015,0.06
mooney_viscosity,patent,pls,1,1022,256,-1.2197505282681593,24.860939932960726,0.1
mooney_viscosity,patent,pls,2,1022,256,0.528462646840131,13.092535422277543,0.15
mooney_viscosity,patent,pls,3,1023,255,-0.2910745726812849,18.364722952957155,0.2
mooney_viscosity,patent,pls,4,1023,255,-2.223553008534294,29.849513743495734,0.24
mooney_viscosity,patent,rf,0,1022,256,-0.19838027034903272,17.513254371170053,0.56
mooney_viscosity,patent,rf,1,1022,256,-0.3967954321785978,21.22536782912165,1.1
mooney_viscosity,patent,rf,2,1022,256,0.3667920254647967,15.366149997123937,1.59
mooney_viscosity,patent,rf,3,1023,255,0.1990350420795608,16.236369334215023,2.13
mooney_viscosity,patent,rf,4,1023,255,0.31208278145257584,13.368253521132532,2.6
mooney_viscosity,patent,hgb,0,1022,256,-0.8883161784143754,22.94747104465623,0.96
mooney_viscosity,patent,hgb,1,1022,256,-0.4099355685773054,21.319355828261088,1.94
mooney_viscosity,patent,hgb,2,1022,256,0.18769781512678307,17.124708561647154,3.02
mooney_viscosity,patent,hgb,3,1023,255,0.187305897423389,17.582218376875836,4.11
mooney_viscosity,patent,hgb,4,1023,255,0.13159708529603997,15.617948141694654,5.18
M300_MPa,random,dummy,0,1213,304,-4.7049665356402315e-05,3.85926169078405,0.04
M300_MPa,random,dummy,1,1213,304,-0.005174735734205793,4.227014622293574,0.07
M300_MPa,random,dummy,2,1214,303,-0.00029341451586972767,3.847742881454537,0.11
M300_MPa,random,dummy,3,1214,303,-5.030351947143963e-05,3.9191071275167055,0.15
M300_MPa,random,dummy,4,1214,303,-0.006928879440213143,3.7190815458811124,0.18
M300_MPa,random,ridge,0,1213,304,0.6853724974042824,1.8693312534287714,0.06
M300_MPa,random,ridge,1,1213,304,0.706971407202509,1.9586229395867385,0.13
M300_MPa,random,ridge,2,1214,303,0.7234589356112304,1.791748835141749,0.2
M300_MPa,random,ridge,3,1214,303,0.7570113690367496,1.6948527975756786,0.26
M300_MPa,random,ridge,4,1214,303,0.7181567919820578,1.6980698887551886,0.31
M300_MPa,random,pls,0,1213,304,0.7024062384603613,1.8009104345296827,0.06
M300_MPa,random,pls,1,1213,304,0.7270851109525261,1.8591683256066656,0.12
M300_MPa,random,pls,2,1214,303,0.7573467289022092,1.6844449831789459,0.17
M300_MPa,random,pls,3,1214,303,0.7551176387712085,1.720960868475893,0.22
M300_MPa,random,pls,4,1214,303,0.7174884655908786,1.7189978430381696,0.28
M300_MPa,random,rf,0,1213,304,0.860752746112652,1.1319285738585532,0.65
M300_MPa,random,rf,1,1213,304,0.8755997997778165,1.1806207196431717,1.31
M300_MPa,random,rf,2,1214,303,0.8508118831018855,1.1100848161466588,1.95
M300_MPa,random,rf,3,1214,303,0.878797508769307,1.0609240938867885,2.61
M300_MPa,random,rf,4,1214,303,0.8821360362653254,1.0071622296705598,3.26
M300_MPa,random,hgb,0,1213,304,0.882114478338806,1.0907642178681682,1.32
M300_MPa,random,hgb,1,1213,304,0.8781492150663882,1.1219085165888796,2.45
M300_MPa,random,hgb,2,1214,303,0.8524618549323474,1.0978052847508382,3.54
M300_MPa,random,hgb,3,1214,303,0.8766491162917533,1.0900819701107645,4.67
M300_MPa,random,hgb,4,1214,303,0.8776465513189012,0.9945619381846734,5.76
M300_MPa,patent,dummy,0,1213,304,-0.08860785366872559,3.992978446218597,0.04
M300_MPa,patent,dummy,1,1213,304,-0.00770119017306925,4.009192660649975,0.09
M300_MPa,patent,dummy,2,1214,303,-0.035069048524446256,3.8451770678715316,0.12
M300_MPa,patent,dummy,3,1214,303,-0.0012447962847890182,4.048951384018139,0.16
M300_MPa,patent,dummy,4,1214,303,-0.0007177029154799008,3.7530436926723967,0.19
M300_MPa,patent,ridge,0,1213,304,0.06948100261827417,3.4669538032484506,0.04
M300_MPa,patent,ridge,1,1213,304,0.3700024143404943,2.781495427190136,0.11
M300_MPa,patent,ridge,2,1214,303,0.22876539861192702,2.9661429944147684,0.17
M300_MPa,patent,ridge,3,1214,303,0.2797461781892442,3.0810536227882506,0.23
M300_MPa,patent,ridge,4,1214,303,0.1364077472032572,3.4820356089676223,0.3
M300_MPa,patent,pls,0,1213,304,-0.5627571469615253,3.9696600200522387,0.08
M300_MPa,patent,pls,1,1213,304,0.18290356493279103,3.099110569943688,0.13
M300_MPa,patent,pls,2,1214,303,-0.07385547927619607,3.721799777120397,0.19
M300_MPa,patent,pls,3,1214,303,-0.2247707402100556,4.136729450551587,0.24
M300_MPa,patent,pls,4,1214,303,-0.21862449110672544,3.969537268556886,0.29
M300_MPa,patent,rf,0,1213,304,0.4267343531408414,2.7156344934902235,0.63
M300_MPa,patent,rf,1,1213,304,0.30195337563362135,3.0631401107500915,1.25
M300_MPa,patent,rf,2,1214,303,0.5170153438165028,2.3945957862844387,1.85
M300_MPa,patent,rf,3,1214,303,0.40007810839541824,2.712484774152193,2.55
M300_MPa,patent,rf,4,1214,303,0.31003254986980133,3.0807090842600595,3.18
